日期,组合价值
2024-06-07,1097155.1400000006
2024-06-11,1233157.0800000005
2024-06-12,1233157.0800000005
2024-06-13,1233157.0800000005
2024-06-14,1233157.0800000005
2024-06-17,1233157.0800000005
2024-06-18,1233157.0800000005
2024-06-19,1233157.0800000005
2024-06-20,1233157.0800000005
2024-06-21,1233157.0800000005
2024-06-24,1233157.0800000005
2024-06-25,1233157.0800000005
2024-06-26,1233157.0800000005
2024-06-27,1233157.0800000005
2024-06-28,1233157.0800000005
2024-07-01,1233157.0800000005
2024-07-02,1233157.0800000005
2024-07-03,1233157.0800000005
2024-07-04,1233157.0800000005
2024-07-05,1233157.0800000005
2024-07-08,1233157.0800000005
2024-07-09,1233157.0800000005
2024-07-10,1233157.0800000005
2024-07-11,1233157.0800000005
2024-07-12,1233157.0800000005
2024-07-15,1233157.0800000005
2024-07-16,1233157.0800000005
2024-07-17,1233157.0800000005
2024-07-18,1233157.0800000005
2024-07-19,1233157.0800000005
2024-07-22,1233157.0800000005
2024-07-23,1233157.0800000005
2024-07-24,1233157.0800000005
2024-07-25,1233157.0800000005
2024-07-26,1233157.0800000005
2024-07-29,1233157.0800000005
2024-07-30,1233157.0800000005
2024-07-31,1233157.0800000005
2024-08-01,1233157.0800000005
2024-08-02,1233157.0800000005
2024-08-05,1233157.0800000005
2024-08-06,1233157.0800000005
2024-08-07,1233157.0800000005
2024-08-08,1233157.0800000005
2024-08-09,1233157.0800000005
2024-08-12,1233157.0800000005
2024-08-13,1233157.0800000005
2024-08-14,1233157.0800000005
2024-08-15,1233157.0800000005
2024-08-16,1233157.0800000005
2024-08-19,1233157.0800000005
2024-08-20,1233157.0800000005
2024-08-21,1233157.0800000005
2024-08-22,1233157.0800000005
2024-08-23,1233157.0800000005
2024-08-26,1233157.0800000005
2024-08-27,1233157.0800000005
2024-08-28,1233157.0800000005
2024-08-29,1233157.0800000005
2024-08-30,1233157.0800000005
2024-09-02,1233157.0800000005
2024-09-03,1233157.0800000005
2024-09-04,1233157.0800000005
2024-09-05,1233157.0800000005
2024-09-06,1233157.0800000005
2024-09-09,1233157.0800000005
2024-09-10,1233157.0800000005
2024-09-11,1233157.0800000005
2024-09-12,1233157.0800000005
2024-09-13,1233157.0800000005
2024-09-18,1233157.0800000005
2024-09-19,1233157.0800000005
2024-09-20,1233157.0800000005
2024-09-23,1233157.0800000005
2024-09-24,1233157.0800000005
2024-09-25,1233157.0800000005
2024-09-26,1233157.0800000005
2024-09-27,1233157.0800000005
2024-09-30,1233157.0800000005
