industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
国防军工-社会服务,"('002414.SZ', '300012.SZ')",0.7190725501098674,644559870.968254,-1.0002582999999998,-1.1927085240242468,0.1193831531548238
计算机-有色金属,"('002152.SZ', '600392.SH')",0.8782564737556995,885983228.2222222,6.145947189999998,-0.6318141559834409,1.5748524418767338
计算机-有色金属,"('002373.SZ', '600497.SH')",0.8090627685150297,884849139.6031747,6.145947189999998,-0.6318141559834409,1.5748524418767338
计算机-机械设备,"('002373.SZ', '601608.SH')",0.7248958867799297,501584480.2380952,1.7643846299999995,-0.7272712300000002,1.20015631965943
计算机-机械设备,"('002373.SZ', '600528.SH')",0.7324009903821161,445250432.17460316,1.7643846299999995,-0.7272712300000002,1.20015631965943
计算机-公用事业,"('002373.SZ', '000155.SZ')",0.7201629309578373,543536647.4920635,274.42113317999997,-1.5877912087650095,-2.9046897298809156
计算机-公用事业,"('600131.SH', '000155.SZ')",1.416613680975934,527505399.73015875,274.42113317999997,-1.5877912087650095,-2.9046897298809156
计算机-传媒,"('600131.SH', '300058.SZ')",1.3853664752199606,1851089825.936508,658.8309038499999,-3.1870873124626953,-3.267162621554703
计算机-传媒,"('300017.SZ', '002517.SZ')",0.9423046587714891,1845051599.2380953,658.8309038499999,-3.1870873124626953,-3.267162621554703
计算机-汽车,"('300017.SZ', '600699.SH')",0.8397198002582038,1619723692.4761906,-1.1281007000000096,-3.10128635978165,-3.262936048452152
计算机-汽车,"('600131.SH', '000559.SZ')",1.2667238082843477,496031273.39682543,-1.1281007000000096,-3.10128635978165,-3.262936048452152
计算机-交通运输,"('002373.SZ', '600153.SH')",0.6661764608285057,624908218.6190476,0.54397238,-0.3334116808630414,0.9067634839676206
计算机-交通运输,"('002373.SZ', '600704.SH')",0.7947494441635633,577412565.8888888,0.54397238,-0.3334116808630414,0.9067634839676206
计算机-钢铁,"('002152.SZ', '000959.SZ')",1.2231420961203103,617336260.8809524,20096.95223559,-4.7149769266245105,-3.5524725601432516
计算机-钢铁,"('002373.SZ', '000629.SZ')",0.7815812072863111,616981283.7301587,20096.95223559,-4.7149769266245105,-3.5524725601432516
计算机-食品饮料,"('600131.SH', '002507.SZ')",1.2527633371636389,488380566.5555556,77.96682722,-0.9785083199999999,2.0504037085912135
计算机-煤炭,"('002373.SZ', '600157.SH')",0.8656943901876851,1378931119.8888888,6.95531325,-7.232236078837345,-1.309392317086736
计算机-煤炭,"('600271.SH', '600157.SH')",0.825842751038446,1222503961.5555556,6.95531325,-7.232236078837345,-1.309392317086736
计算机-房地产,"('600131.SH', '601155.SH')",1.3740864122568228,591562187.9365079,2183452.060115561,-7.67947915126418,-3.695484291548834
计算机-房地产,"('600131.SH', '600208.SH')",1.4537918199623836,587155973.8412699,2183452.060115561,-7.67947915126418,-3.695484291548834
计算机-银行,"('002373.SZ', '601997.SH')",0.8166876127390238,549578983.1269841,0.22495161999999969,-0.12415191694264571,1.1684245394878026
计算机-银行,"('002373.SZ', '601577.SH')",0.8190692206166944,506287505.6666666,0.22495161999999969,-0.12415191694264571,1.1684245394878026
计算机-环保,"('002373.SZ', '300070.SZ')",0.6026049031684935,548563180.9523809,459691.47471548,-4.113342141248988,-4.516068452362629
计算机-环保,"('600131.SH', '300070.SZ')",1.3885211783524203,532531933.1904762,459691.47471548,-4.113342141248988,-4.516068452362629
计算机-农林牧渔,"('600131.SH', '600598.SH')",1.4038607784865258,541085634.6984127,9.420011619999997,-0.9165676723779181,1.758881962952939
计算机-农林牧渔,"('600271.SH', '601118.SH')",0.7033084358660046,373921869.39682543,9.420011619999997,-0.9165676723779181,1.758881962952939
计算机-建筑材料,"('002439.SZ', '002080.SZ')",1.2519629733341293,685211155.1269841,0.008854090000000037,-0.12795851000000003,-0.06791643138231927
计算机-建筑材料,"('002373.SZ', '601992.SH')",0.8437474865345244,418409521.5952381,0.008854090000000037,-0.12795851000000003,-0.06791643138231927
计算机-通信,"('300017.SZ', '600498.SH')",1.3242639250107222,1853395090.2063491,4963.258954610001,-3.2367746800000003,-3.6550279695037484
计算机-通信,"('600131.SH', '688387.SH')",1.4790232931442249,434350789.23015875,4963.258954610001,-3.2367746800000003,-3.6550279695037484
计算机-建筑装饰,"('002373.SZ', '600170.SH')",0.8532057796612451,618485365.1904762,0.12546323999999975,-0.03504607850797403,0.8646670877154905
计算机-商贸零售,"('002373.SZ', '000785.SZ')",0.8435365004236363,666374911.3888888,102.31241871,-4.0294799999999995,-2.519957439539149
计算机-纺织服饰,"('002373.SZ', '002563.SZ')",0.7778955664890019,434560487.17460316,0.1167662100000002,-0.03714350339723871,0.9275184379112678
计算机-社会服务,"('002373.SZ', '002607.SZ')",0.6808012788852675,1548563584.1111112,64385552.10207053,-6.716723114717145,-4.071780350098256
计算机-社会服务,"('600131.SH', '002607.SZ')",1.402533259176926,1532532336.3492064,64385552.10207053,-6.716723114717145,-4.071780350098256
有色金属-机械设备,"('601168.SH', '601717.SH')",0.9761065542495069,1017576636.8571428,0.9134268600000002,-0.7460855894955638,0.8942248204054246
有色金属-机械设备,"('000878.SZ', '601717.SH')",1.1848158278047831,924936012.3492063,0.9134268600000002,-0.7460855894955638,0.8942248204054246
有色金属-公用事业,"('601168.SH', '000591.SZ')",1.2846112138387609,847128486.0952381,7.608948080000001,-3.8313113600000004,0.024536152952966975
有色金属-公用事业,"('000426.SZ', '600021.SH')",0.9152963974030318,826192409.8730159,7.608948080000001,-3.8313113600000004,0.024536152952966975
有色金属-传媒,"('601168.SH', '002739.SZ')",1.1107645424850814,1074393014.7936506,6.1776972400000005,-1.1719655729030443,-1.0348687632616158
有色金属-传媒,"('000960.SZ', '002739.SZ')",1.2304270109312112,920667534.5396825,6.1776972400000005,-1.1719655729030443,-1.0348687632616158
有色金属-汽车,"('601168.SH', '601966.SH')",1.1928573473428603,945779940.2539682,0.1813056799999997,-0.6780397590325514,0.7292430480091561
有色金属-汽车,"('000878.SZ', '601966.SH')",1.467434057878743,853139315.7460318,0.1813056799999997,-0.6780397590325514,0.7292430480091561
有色金属-交通运输,"('000878.SZ', '600153.SH')",0.7220436970758358,863744170.5396825,-0.9932976300000003,-0.9968660345954189,-0.0754964566260501
有色金属-交通运输,"('600497.SH', '600153.SH')",0.8228123666218848,859271945.6190476,-0.9932976300000003,-0.9968660345954189,-0.0754964566260501
有色金属-钢铁,"('601168.SH', '000932.SZ')",1.226131966801555,1112677359.8730159,19.89566491,-8.436264389999998,-1.0746495229509714
有色金属-钢铁,"('000878.SZ', '000932.SZ')",0.8629639125781519,1020036735.3650794,19.89566491,-8.436264389999998,-1.0746495229509714
有色金属-食品饮料,"('601168.SH', '300146.SZ')",1.286146996754938,864721727.7301587,-1.65091736,-1.2475908218335428,0.19632174362236457
有色金属-食品饮料,"('600497.SH', '002507.SZ')",0.7953357466596276,738775541.3174603,-1.65091736,-1.2475908218335428,0.19632174362236457
有色金属-煤炭,"('600549.SH', '600157.SH')",1.4057409449591187,1457031406.8888888,11132.716285449998,-13.248297113097253,-2.4303937797748767
有色金属-煤炭,"('600392.SH', '600157.SH')",1.2288731067580938,1424306806.3809524,11132.716285449998,-13.248297113097253,-2.4303937797748767
有色金属-房地产,"('002532.SZ', '600208.SH')",0.7116827757952893,728369240.5079365,-0.9700915999999999,-0.987377348240287,0.04143546117429759
有色金属-房地产,"('600497.SH', '600848.SH')",0.5434555403184226,639528552.5396826,-0.9700915999999999,-0.987377348240287,0.04143546117429759
有色金属-银行,"('000960.SZ', '601128.SH')",0.8844661965230818,752325103.015873,21.45176371,-5.87697177,-1.880126029176058
有色金属-银行,"('000878.SZ', '001227.SZ')",0.9630854741699393,712221604.3571428,21.45176371,-5.87697177,-1.880126029176058
有色金属-石油石化,"('601168.SH', '000703.SZ')",1.205667267289422,771227312.4444444,11.940791529999998,-2.4806284800000005,-2.0279113053683417
